Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,372,Ireland,IRL,246,Finland,FIN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,4230,,,,4230,,12611,,,0
H5,2019,2019,2019,6,1,1,Import,372,Ireland,IRL,251,France,FRA,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,4715,,,,4715,,19297,,,0
H5,2019,2019,2019,6,1,1,Import,372,Ireland,IRL,398,Kazakhstan,KAZ,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,421,,,,421,,6967,,,0
H5,2019,2019,2019,6,1,1,Import,372,Ireland,IRL,752,Sweden,SWE,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,6520,,,,6520,,168762,,,0
H5,2019,2019,2019,6,1,1,Import,372,Ireland,IRL,826,United Kingdom,GBR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,16290,,,,16290,,265220,,,0
H5,2019,2019,2019,6,1,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,609,,,,609,,1000,,,6
H5,2019,2019,2019,6,1,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1663,,,,1663,,2000,,,6
H5,2019,2019,2019,6,1,1,Import,376,Israel,ISR,156,China,CHN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,609,,,,609,,1000,,,6
H5,2019,2019,2019,6,1,2,Export,376,Israel,ISR,757,Switzerland,CHE,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1663,,,,1663,,2000,,,6
H5,2019,2019,2019,6,1,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,173886,,,,173886,,381472,,,0
H5,2019,2019,2019,6,1,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,106721,,,,106721,,465402,,,0
